Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2016-11-07,Hacksaw Ridge,2016,https://letterboxd.com/jacobworrel/film/hacksaw-ridge/,4.5,,2016-11-05
2016-11-12,Nanook of the North,1922,https://letterboxd.com/jacobworrel/film/nanook-of-the-north/,3.5,,2016-11-11
2016-11-12,Winchester '73,1950,https://letterboxd.com/jacobworrel/film/winchester-73/,3,,2016-11-11
2016-11-13,Arrival,2016,https://letterboxd.com/jacobworrel/film/arrival-2016/,1.5,,2016-11-12
2016-11-16,High School,1968,https://letterboxd.com/jacobworrel/film/high-school/,2.5,,2016-11-15
2016-11-22,Oliver Twist,1948,https://letterboxd.com/jacobworrel/film/oliver-twist-1948/,3.5,,2016-11-16
2016-11-22,You're Sleeping Nicole,2014,https://letterboxd.com/jacobworrel/film/youre-sleeping-nicole/,3,,2016-11-16
2016-11-22,The Best of Youth,2003,https://letterboxd.com/jacobworrel/film/the-best-of-youth/,4.5,,2016-11-21
2016-11-22,Topsy-Turvy,1999,https://letterboxd.com/jacobworrel/film/topsy-turvy/,4,,2016-11-21
2016-11-22,The Wailing,2016,https://letterboxd.com/jacobworrel/film/the-wailing/,2,,2016-11-21
2016-12-11,Fantastic Beasts and Where to Find Them,2016,https://letterboxd.com/jacobworrel/film/fantastic-beasts-and-where-to-find-them/,3,,2016-11-27
2016-12-08,Keanu,2016,https://letterboxd.com/jacobworrel/film/keanu/,3,,2016-12-05
2016-12-08,Moonlight,2016,https://letterboxd.com/jacobworrel/film/moonlight-2016/,2.5,,2016-12-06
2016-12-13,Berlin Alexanderplatz,1980,https://letterboxd.com/jacobworrel/film/berlin-alexanderplatz/,3.5,,2016-12-12
2016-12-18,Manchester by the Sea,2016,https://letterboxd.com/jacobworrel/film/manchester-by-the-sea/,4.5,,2016-12-17
2016-12-19,La La Land,2016,https://letterboxd.com/jacobworrel/film/la-la-land/,3.5,,2016-12-18
2016-12-31,Rogue One: A Star Wars Story,2016,https://letterboxd.com/jacobworrel/film/rogue-one-a-star-wars-story/,2,,2016-12-29
2017-01-03,Jackie,2016,https://letterboxd.com/jacobworrel/film/jackie-2016/,3,,2017-01-02
2017-01-16,Toni Erdmann,2016,https://letterboxd.com/jacobworrel/film/toni-erdmann/,4,,2017-01-15
2017-01-17,Patriots Day,2016,https://letterboxd.com/jacobworrel/film/patriots-day/,3,,2017-01-15
