Date,Name,Year,Letterboxd URI,Rating
2013-06-09,Nightmare Alley,1947,https://letterboxd.com/film/nightmare-alley/,4
2013-06-09,It's a Wonderful Life,1946,https://letterboxd.com/film/its-a-wonderful-life/,4
2013-06-09,My Darling Clementine,1946,https://letterboxd.com/film/my-darling-clementine/,4
2013-06-09,Mildred Pierce,1945,https://letterboxd.com/film/mildred-pierce/,3.5
2013-06-09,The Lost Weekend,1945,https://letterboxd.com/film/the-lost-weekend/,4
2013-06-09,Scarlet Street,1945,https://letterboxd.com/film/scarlet-street/,4
2013-06-09,The Postman Always Rings Twice,1946,https://letterboxd.com/film/the-postman-always-rings-twice/,4
2013-06-09,The Woman in the Window,1944,https://letterboxd.com/film/the-woman-in-the-window/,4
2013-06-09,Laura,1944,https://letterboxd.com/film/laura/,3.5
2013-06-09,Double Indemnity,1944,https://letterboxd.com/film/double-indemnity/,4.5
2013-06-09,The Palm Beach Story,1942,https://letterboxd.com/film/the-palm-beach-story/,4.5
2013-06-09,The Ox-Bow Incident,1943,https://letterboxd.com/film/film:51189/,4.5
2013-06-09,Shadow of a Doubt,1943,https://letterboxd.com/film/shadow-of-a-doubt/,3.5
2013-06-09,The Grapes of Wrath,1940,https://letterboxd.com/film/the-grapes-of-wrath/,3.5
2013-06-09,His Girl Friday,1940,https://letterboxd.com/film/his-girl-friday/,4.5
2013-06-09,The Story of the Last Chrysanthemum,1939,https://letterboxd.com/film/the-story-of-the-last-chrysanthemum/,4.5
2013-06-09,Bringing Up Baby,1938,https://letterboxd.com/film/bringing-up-baby/,4.5
2013-06-09,My Man Godfrey,1936,https://letterboxd.com/film/my-man-godfrey/,3.5
2013-06-09,Modern Times,1936,https://letterboxd.com/film/modern-times/,4
2013-06-09,Captain Blood,1935,https://letterboxd.com/film/captain-blood/,4
2013-06-09,Freaks,1932,https://letterboxd.com/film/freaks/,3.5
2013-06-09,La Chienne,1931,https://letterboxd.com/film/la-chienne/,3.5
2013-06-09,Le Million,1931,https://letterboxd.com/film/le-million/,3.5
2013-06-09,City Lights,1931,https://letterboxd.com/film/city-lights/,4.5
2013-06-09,The Blue Angel,1930,https://letterboxd.com/film/the-blue-angel/,4
2013-06-09,The General,1926,https://letterboxd.com/film/the-general/,4.5
